category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Crypto,30,"[0.0,0.1)",221,0.008857466063348416,0.0,752537.616226827
Crypto,30,"[0.1,0.2)",13,0.1567692307692308,0.23076923076923078,258773.4411738461
Crypto,30,"[0.2,0.3)",9,0.24572222222222223,0.2222222222222222,288237.1077623333
Crypto,30,"[0.3,0.4)",10,0.34740000000000004,0.3,244000.3021323
Crypto,30,"[0.4,0.5)",66,0.4859090909090909,0.5909090909090909,147414.77949142415
Crypto,30,"[0.5,0.6)",2819,0.5042664065271373,0.5033699893579283,139509.97540603465
Crypto,30,"[0.6,0.7)",4,0.64125,0.5,478031.759859
Crypto,30,"[0.7,0.8)",6,0.7475,0.5,368121.808135167
Crypto,30,"[0.8,0.9)",5,0.8496,0.6,412317.1749808001
Crypto,30,"[0.9,1.0]",71,0.985718309859155,1.0,583705.2111836908
Culture,30,"[0.0,0.1)",137,0.006927007299270074,0.0,517351.86550115986
Culture,30,"[0.1,0.2)",9,0.14322222222222225,0.2222222222222222,843132.5557768885
Culture,30,"[0.2,0.3)",2,0.23575000000000002,0.0,1936303.8719029916
Culture,30,"[0.3,0.4)",1,0.31,0.0,225341.231671
Culture,30,"[0.4,0.5)",5,0.4304,0.6,358081.4935610008
Culture,30,"[0.5,0.6)",5,0.5567,0.8,1029416.0450257992
Culture,30,"[0.6,0.7)",4,0.667875,0.75,866235.2562892465
Culture,30,"[0.7,0.8)",3,0.7433333333333333,0.6666666666666666,588816.1272496672
Culture,30,"[0.9,1.0]",7,0.9815714285714287,1.0,185889.16751471418
Economy,30,"[0.0,0.1)",67,0.003746268656716418,0.0,4332882.580411004
Economy,30,"[0.2,0.3)",1,0.25,1.0,372727.52406800026
Economy,30,"[0.3,0.4)",1,0.32,1.0,484811.48123300046
Economy,30,"[0.4,0.5)",7,0.45,0.2857142857142857,251459.6495357142
Economy,30,"[0.5,0.6)",4,0.52375,1.0,217880.02621500002
Economy,30,"[0.6,0.7)",2,0.6225,0.0,207369.3641055
Economy,30,"[0.9,1.0]",7,0.9962857142857143,1.0,685809.1548461441
Politics,30,"[0.0,0.1)",124,0.008883064516129031,0.016129032258064516,2211102.5139416372
Politics,30,"[0.1,0.2)",7,0.13807142857142857,0.0,1631782.2138957002
Politics,30,"[0.2,0.3)",5,0.2459,0.4,761549.8570158
Politics,30,"[0.4,0.5)",1,0.405,0.0,2529733.761407997
Politics,30,"[0.5,0.6)",3,0.5353333333333333,0.6666666666666666,3021855.0397126693
Politics,30,"[0.6,0.7)",2,0.64,1.0,194022.40492249973
Politics,30,"[0.7,0.8)",1,0.7485,1.0,463580.8147129996
Politics,30,"[0.8,0.9)",1,0.83,1.0,137119.05110599997
Politics,30,"[0.9,1.0]",14,0.9892142857142857,1.0,2023665.2530817208
Science,30,"[0.0,0.1)",2,0.03225,0.0,201680.56840049993
Sports,30,"[0.0,0.1)",193,0.010018134715025906,0.0051813471502590676,453091.2906385648
Sports,30,"[0.1,0.2)",58,0.15293965517241379,0.25862068965517243,889330.8233963411
Sports,30,"[0.2,0.3)",110,0.2562272727272727,0.3181818181818182,761089.777989091
Sports,30,"[0.3,0.4)",148,0.34975675675675677,0.4189189189189189,740529.4066829251
Sports,30,"[0.4,0.5)",352,0.46110795454545456,0.5170454545454546,723420.7096680683
Sports,30,"[0.5,0.6)",353,0.5353116147308782,0.5269121813031161,561018.0923176566
Sports,30,"[0.6,0.7)",125,0.6478400000000001,0.584,591414.0685228797
Sports,30,"[0.7,0.8)",70,0.7447142857142858,0.6571428571428571,816523.5155817998
Sports,30,"[0.8,0.9)",53,0.8435849056603774,0.8490566037735849,704904.2364191706
Sports,30,"[0.9,1.0]",165,0.9933000000000002,1.0,402131.95355981216
Technology,30,"[0.0,0.1)",62,0.01164516129032258,0.04838709677419355,389575.3014897752
