horizon_min,volume_bucket,n_rows,n_price_available,n_staleness_available,mean_staleness_min,median_staleness_min,p90_staleness_min,decile_volume_min,decile_volume_max
1020,Decile 9,3000,426,426,844.1587636932707,9.416666666666666,1814.35,387838.113042,711162.203510001
1020,Decile 10 (highest),3000,501,501,540.2948436460413,9.383333333333333,9.9,711337.070103,235065166.637259
1080,Decile 1 (lowest),3000,348,348,312.11139846743293,9.266666666666667,9.583333333333334,88428.8872629999,100493.179272
1080,Decile 2,3000,351,351,486.05716999050327,9.3,9.6,100494.427236,113333.845187
1080,Decile 3,3000,301,301,662.8630675526024,9.316666666666666,9.6,113337.833364,128599.649061
1080,Decile 4,3000,280,280,670.8917857142858,9.316666666666666,9.666666666666666,128612.266046,146338.090948
1080,Decile 5,3000,306,306,694.9403594771242,9.316666666666666,1099.3833333333332,146342.78853100023,170866.05737899995
1080,Decile 6,3000,290,290,1173.5760344827586,9.366666666666667,6978.231666666668,170884.843911,207390.394031
1080,Decile 7,3000,265,265,1255.0944025157232,9.333333333333334,7443.306666666666,207390.49136199968,267325.838332
1080,Decile 8,3000,305,305,1152.3613661202187,9.333333333333334,7227.263333333334,267391.98381600075,387725.630436
1080,Decile 9,3000,423,423,842.458707643814,9.333333333333334,1793.3200000000015,387838.113042,711162.203510001
1080,Decile 10 (highest),3000,498,498,538.6807563587683,9.316666666666666,9.621666666666668,711337.070103,235065166.637259
1140,Decile 1 (lowest),3000,317,317,338.7001051524711,9.333333333333334,9.590000000000002,88428.8872629999,100493.179272
1140,Decile 2,3000,320,320,528.0524479166667,9.35,9.616666666666667,100494.427236,113333.845187
1140,Decile 3,3000,283,283,699.3775618374558,9.35,19.866666666666667,113337.833364,128599.649061
1140,Decile 4,3000,254,254,732.8757217847768,9.35,9.645,128612.266046,146338.090948
1140,Decile 5,3000,274,274,768.2819343065694,9.35,4588.311666666694,146342.78853100023,170866.05737899995
1140,Decile 6,3000,280,280,1205.3083928571427,9.383333333333333,7003.375,170884.843911,207390.394031
1140,Decile 7,3000,253,253,1303.4538208168642,9.383333333333333,7399.333333333333,207390.49136199968,267325.838332
1140,Decile 8,3000,301,301,1156.6346068660023,9.366666666666667,7179.383333333333,267391.98381600075,387725.630436
1140,Decile 9,3000,421,421,839.131908155186,9.366666666666667,1759.3,387838.113042,711162.203510001
1140,Decile 10 (highest),3000,494,494,538.542004048583,9.35,9.65,711337.070103,235065166.637259
1200,Decile 1 (lowest),3000,287,287,369.3752032520325,9.333333333333334,9.583333333333334,88428.8872629999,100493.179272
1200,Decile 2,3000,296,296,565.2461148648649,9.35,9.616666666666667,100494.427236,113333.845187
1200,Decile 3,3000,268,268,732.1848880597014,9.366666666666667,9.750000000000002,113337.833364,128599.649061
1200,Decile 4,3000,238,238,775.4700280112045,9.366666666666667,774.7166666666957,128612.266046,146338.090948
1200,Decile 5,3000,255,255,817.4170588235295,9.366666666666667,5645.19,146342.78853100023,170866.05737899995
1200,Decile 6,3000,265,265,1262.4322641509434,9.416666666666666,7039.289999999999,170884.843911,207390.394031
1200,Decile 7,3000,249,249,1312.9728246318607,9.35,7339.37,207390.49136199968,267325.838332
1200,Decile 8,3000,297,297,1160.899494949495,9.35,7135.303333333334,267391.98381600075,387725.630436
1200,Decile 9,3000,419,419,835.5191726332538,9.366666666666667,2345.34666666663,387838.113042,711162.203510001
1200,Decile 10 (highest),3000,492,492,535.84972899729,9.3,9.616666666666667,711337.070103,235065166.637259
1260,Decile 1 (lowest),3000,256,256,409.6850260416667,9.4,19.208333333333332,88428.8872629999,100493.179272
1260,Decile 2,3000,266,266,623.0604636591479,9.383333333333333,19.224999999999998,100494.427236,113333.845187
1260,Decile 3,3000,240,240,810.5989583333334,9.383333333333333,3831.1483333333326,113337.833364,128599.649061
1260,Decile 4,3000,212,212,862.6992924528302,9.366666666666667,4738.263333333334,128612.266046,146338.090948
1260,Decile 5,3000,232,232,889.9609913793104,9.416666666666666,5828.135,146342.78853100023,170866.05737899995
1260,Decile 6,3000,253,253,1311.3225296442686,9.433333333333334,7019.183333333333,170884.843911,207390.394031
1260,Decile 7,3000,244,244,1328.6866803278688,9.4,7279.461666666666,207390.49136199968,267325.838332
1260,Decile 8,3000,293,293,1165.9198521046644,9.4,7091.223333333333,267391.98381600075,387725.630436
1260,Decile 9,3000,416,416,834.5429487179487,9.408333333333333,3254.416666666667,387838.113042,711162.203510001
1260,Decile 10 (highest),3000,491,491,532.7477596741344,9.366666666666667,19.23333333333333,711337.070103,235065166.637259
1320,Decile 1 (lowest),3000,223,223,466.41629297458894,9.416666666666666,39.26,88428.8872629999,100493.179272
1320,Decile 2,3000,248,248,662.8030241935484,9.4,39.24166666666667,100494.427236,113333.845187
1320,Decile 3,3000,213,213,906.0247261345853,9.416666666666666,4651.270000000007,113337.833364,128599.649061
1320,Decile 4,3000,182,182,996.5463369963369,9.4,6793.471666666667,128612.266046,146338.090948
1320,Decile 5,3000,214,214,956.6490654205608,9.433333333333334,6039.431666666672,146342.78853100023,170866.05737899995
1320,Decile 6,3000,235,235,1400.4947517730495,9.45,7051.599999999999,170884.843911,207390.394031
