horizon_min,volume_bucket,bin_start,bin_end,bin_mid,n,mean_signed_isotonic_gap,mean_abs_isotonic_gap,decile_volume_min,decile_volume_max
60,Decile 2,0.0,0.1,0.05,48,-0.0019087936728022926,0.005412717191812019,97667.37895899997,107043.68658100002
60,Decile 2,0.1,0.2,0.15000000000000002,11,-0.07218054672600127,0.07218054672600127,97667.37895899997,107043.68658100002
60,Decile 2,0.2,0.30000000000000004,0.25,14,-0.0824918960349995,0.0824918960349995,97667.37895899997,107043.68658100002
60,Decile 2,0.3,0.4,0.35,8,-0.07385839160839161,0.07385839160839161,97667.37895899997,107043.68658100002
60,Decile 2,0.4,0.5,0.45,28,-0.011355487815175702,0.012004838464526348,97667.37895899997,107043.68658100002
60,Decile 2,0.5,0.6,0.55,490,0.0027565857406871975,0.003463042575696867,97667.37895899997,107043.68658100002
60,Decile 2,0.6,0.7,0.6499999999999999,4,0.05083141321044546,0.05083141321044546,97667.37895899997,107043.68658100002
60,Decile 2,0.7,0.7999999999999999,0.75,2,0.10559139784946237,0.10559139784946237,97667.37895899997,107043.68658100002
60,Decile 2,0.8,0.9,0.8500000000000001,3,0.01999999999999998,0.07999999999999996,97667.37895899997,107043.68658100002
60,Decile 2,0.9,1.0,0.95,17,-0.006499999999999957,0.006499999999999957,97667.37895899997,107043.68658100002
60,Decile 3,0.0,0.1,0.05,59,0.0013190693973861723,0.0062876683028640955,107062.09093099996,117377.38891199988
60,Decile 3,0.1,0.2,0.15000000000000002,7,-0.08117937617937619,0.08117937617937619,107062.09093099996,117377.38891199988
60,Decile 3,0.2,0.30000000000000004,0.25,5,-0.0647048951048951,0.0647048951048951,107062.09093099996,117377.38891199988
60,Decile 3,0.3,0.4,0.35,9,-0.07298523698523697,0.07298523698523697,107062.09093099996,117377.38891199988
60,Decile 3,0.4,0.5,0.45,33,-0.01587665280300342,0.01587665280300342,107062.09093099996,117377.38891199988
60,Decile 3,0.5,0.6,0.55,474,0.00327766249218645,0.0038570768228147383,107062.09093099996,117377.38891199988
60,Decile 3,0.6,0.7,0.6499999999999999,12,0.0599897593445981,0.0599897593445981,107062.09093099996,117377.38891199988
60,Decile 3,0.7,0.7999999999999999,0.75,5,0.07547311827956989,0.07547311827956989,107062.09093099996,117377.38891199988
